,name_road,oldname_road,points
80,80,3354,"[(30.78236038, 103.9849489), (30.7700213, 103.9552436)]"
81,81,3405,"[(30.71471837, 104.1329977), (30.72511547, 104.1462028)]"
82,82,3434,"[(30.78236038, 103.9849489), (30.78634412, 104.0475071)]"
83,83,3464,"[(30.59277035, 104.1771707), (30.6181818, 104.2035543)]"
84,84,3466,"[(30.6509292, 104.204397), (30.6181818, 104.2035543)]"
85,85,3576,"[(30.57872323, 104.1638932), (30.59277035, 104.1771707)]"
86,86,3602,"[(30.56811912, 104.0661417), (30.56814664, 104.0696326)]"
87,87,3603,"[(30.56871008, 104.0765396), (30.56814664, 104.0696326)]"
88,88,3604,"[(30.57090281, 104.1084768), (30.57428621, 104.1502536)]"
89,89,3605,"[(30.57872323, 104.1638932), (30.57428621, 104.1502536)]"
90,90,3628,"[(30.57742312, 104.0266743), (30.58034411, 104.0201993)]"
91,91,3629,"[(30.58332268, 104.0158469), (30.58034411, 104.0201993)]"
92,92,3688,"[(30.58885883, 103.9999551), (30.59455801, 103.9781162)]"
93,93,3689,"[(30.60401625, 103.9604905), (30.59455801, 103.9781162)]"
94,94,3707,"[(30.67494723, 104.2033612), (30.70612702, 104.200667)]"
95,95,3721,"[(30.61112478, 104.0333621), (30.61450689, 104.0354192)]"
96,96,3723,"[(30.61577708, 104.0362486), (30.61450689, 104.0354192)]"
97,97,3834,"[(30.6509292, 104.204397), (30.67494723, 104.2033612)]"
98,98,3923,"[(30.67415763, 103.9328245), (30.69461569, 103.9299735)]"
99,99,3924,"[(30.70607506, 103.9313093), (30.69461569, 103.9299735)]"
100,100,3962,"[(30.57197098, 104.0435588), (30.57742312, 104.0266743)]"
101,101,3963,"[(30.5816609, 104.0283682), (30.57742312, 104.0266743)]"
102,102,4062,"[(30.630378, 103.9425616), (30.63831074, 103.9401081)]"
103,103,4063,"[(30.64225974, 103.9556823), (30.63831074, 103.9401081)]"
104,104,4064,"[(30.67415763, 103.9328245), (30.63831074, 103.9401081)]"
105,105,4085,"[(30.64225974, 103.9556823), (30.64764778, 103.9759777)]"
106,106,4087,"[(30.64868896, 103.9807086), (30.64764778, 103.9759777)]"
107,107,4121,"[(30.59596115, 104.0318858), (30.60709687, 104.0320147)]"
108,108,4123,"[(30.61112478, 104.0333621), (30.60709687, 104.0320147)]"
109,109,4168,"[(30.66940351, 104.1441848), (30.67205697, 104.1604886)]"
110,110,4269,"[(30.59257463, 104.0318859), (30.58666704, 104.0301944)]"
111,111,4314,"[(30.57092933, 104.0896175), (30.57090281, 104.1084768)]"
112,112,4353,"[(30.59596115, 104.0318858), (30.59554599, 104.0313763)]"
113,113,4559,"[(30.65006856, 103.9841556), (30.64868896, 103.9807086)]"
114,114,4629,"[(30.56811912, 104.0661417), (30.56872554, 104.0553991)]"
115,115,4630,"[(30.57197098, 104.0435588), (30.56872554, 104.0553991)]"
116,116,4671,"[(30.58885883, 103.9999551), (30.58962127, 103.9997597)]"
117,117,4838,"[(30.58885883, 103.9999551), (30.58332268, 104.0158469)]"
118,118,4874,"[(30.59596115, 104.0318858), (30.59257463, 104.0318859)]"
119,119,4889,"[(30.56871008, 104.0765396), (30.57092933, 104.0896175)]"
120,120,5009,"[(30.60525631, 104.0434786), (30.60795889, 104.0470481)]"
121,121,5011,"[(30.61130347, 104.0514275), (30.60795889, 104.0470481)]"
122,122,5091,"[(30.61130347, 104.0514275), (30.61128466, 104.0550112)]"
123,123,5177,"[(30.59596115, 104.0318858), (30.60236365, 104.0400367)]"
124,124,5204,"[(30.61803113, 104.0377205), (30.61577708, 104.0362486)]"
125,125,5283,"[(30.70648699, 104.1104323), (30.70835026, 104.1238067)]"
126,126,5284,"[(30.71471837, 104.1329977), (30.70835026, 104.1238067)]"
127,127,5494,"[(30.7062197, 104.1060918), (30.70648699, 104.1104323)]"
